id,review_text,reviewer_id,reviewer_name,source_name,source_review_id,star_rating
106025.0,Good treat,amzn1.account.AGT564HKXVNNHKMDGGNEWVF7OGAQ,Amazon Customer,Amazon India,R1QH3DC6WX8XTD,5.0 out of 5 stars
106026.0,ALWAYS GO FOR PEDIGREE PRODUCTS WHICH IS LOVED BY ALL BREADS AS MY SHISTZU AND LHASA APSO 9MONTHS LOVE TO EATTHANK YOU AMAZON,amzn1.account.AGCAUUK6RNEC6CLODDS6V6SVLZLA,PRAVARDHMYSORE,Amazon India,R2MQBRLGCHR15T,5.0 out of 5 stars
106027.0,"Good one but I think it can be given to puppies under 2 or 3 months, cause my dog(4 months) swallowed the entire thing all at once!",amzn1.account.AFKFHGF26MKX3PLPKBJYRSND236A,Nisha,Amazon India,RRJF3L8502MAF,5.0 out of 5 stars
106028.0,"... they keep him happy, and I haven't noticed any detrimental effects.",amzn1.account.AEFKUH3UFTBBWPO2DJIGXJ72WL5Q,Amar,Amazon India,R2SQQIAZVKKXWJ,5.0 out of 5 stars
106029.0,my dog love it,amzn1.account.AHGJHN2KJXXKM4GHJ2K5Z6XCYAMA,mahesh m. salekar,Amazon India,R1X7APTQJYFKAV,5.0 out of 5 stars
106030.0,"After having this, my pet does not emanate bad smell. Oral is good.",amzn1.account.AG77OFUONP372YMRALN3ZXLQX35Q,Amazon Customer,Amazon India,R1VG685I1S7NLS,5.0 out of 5 stars
106031.0,Dogs deserve a treat like this. And it happens to be good for their teeth! Good product.,amzn1.account.AFJZQSCPBEMFIZWSYPWHRI7VGBDA,Amazon Customer,Amazon India,R3VB9TUBL1GSHC,5.0 out of 5 stars
106032.0,"My dog like to eat it.But dog got throat infection after feeding it.and few vomits.After medical treatment(Tablets) it is recovered in 2,3 days..the food content is not good at all.And last thing it is just chewy thing,will not clean teeth.it will be nice for time-pass, if the food content is good.But the food content is not good at all.",amzn1.account.AH7BO5BZYTFPALCKXYA2DYTXS3XA,rajkumar,Amazon India,R1C88RZHUVQN1F,1.0 out of 5 stars
106033.0,my dog love these sticks,amzn1.account.AGDEITOLADE6QFDLFPFORDO3X7MA,Sumit,Amazon India,R35RY22WH0Z9ZU,5.0 out of 5 stars
106034.0,Its amazing,amzn1.account.AGXIZAMB2WFDY4G6Q2JDCUU6TFHQ,Amazon Customer,Amazon India,R1IQKDXD4E8IF0,5.0 out of 5 stars
106035.0,Excellent product / price / service,amzn1.account.AEAUIXUUNS44MKVQH4VQP7ZHRBXQ,Amazon Customer,Amazon India,R1FBRILDF0HJ9U,5.0 out of 5 stars
106036.0,My dog loves it,amzn1.account.AFGVBARTYFRH7IKP5IGXKX4KOWVQ,Amazon Customer,Amazon India,RFRRFGCNF22BJ,5.0 out of 5 stars
106037.0,Amazingly amazing. :) My dog is in love with this chew stick no doubt about it. I keep it in fridge just to avoid ants. The moment I'll open this packet he'll come wiggling his tale aww.. :') Leo (ADULT COCKER SPANIEL) my dog he'll jump and try to snatch it from me plus he'll chew in no time and for sure he'll be back for more :'D,amzn1.account.AGUBNERHG7KAWNVSND6LM2C52YHA,sameer bawa,Amazon India,R3BAXPM2V5UG5T,5.0 out of 5 stars
106038.0,Useless product. It sats it removes tartar. It does not do anything. I have been feeding my dog with this from past 2 months. Nothing happened. Waste of money.,amzn1.account.AHVOW67PBZILHHFVSKHQR6VA4P7Q,chandrika gupta,Amazon India,RXVZTVWVZGO6R,1.0 out of 5 stars
106039.0,"Its the best stick that any seller could offer, soft and chewy. Wish prices were economical would have bought a kilo every month for my pet.",amzn1.account.AGHDXWHSX3KLNBOEWZQURWSLCOMA,Amazon Customer,Amazon India,RWG681VVGOFTW,5.0 out of 5 stars
106040.0,My dog crazy about this product.,amzn1.account.AGBTE5XJ6ZP4JFDIYSSCRUM5HA5A,Ankita Sarkar,Amazon India,R5NSKFSX9CTCD,5.0 out of 5 stars
106041.0,Good one,amzn1.account.AETWUM6D64UHU4K5VXEXUBHJOVPQ,Balamaheswari,Amazon India,R332UNRZ8GLG5D,5.0 out of 5 stars
106042.0,Good,amzn1.account.AGZNCQICP2GNMHLSPQKN6ZZKCICA,TDS Gupta,Amazon India,R181LUFBFW2ZAP,5.0 out of 5 stars
106043.0,your dog will like it.,amzn1.account.AFUVHJNLO43MX5JGG2R2NEFLSX7Q,Amazon Customer,Amazon India,RK7GSSYQPFIRS,4.0 out of 5 stars
106044.0,I will not recommend this to the dog lovers.. It's a horrible product that made my dog sick.. Check the ingredient list and you will know for yourself,amzn1.account.AGQKG4G6GBKHW4CSKGVLHGDXMSNA,Amazon Customer,Amazon India,RAQ4C8DUM6X87,2.0 out of 5 stars
106045.0,Ok,amzn1.account.AGU4BNNMABIE6LBKZUZ2CX2TZODQ,BALAJI PRAVEEN KUMAR,Amazon India,R21PIM3KJRKIVA,4.0 out of 5 stars
106046.0,great product and the tartar is gone,amzn1.account.AEWHPTCVTFIBVPLYYK2PXOJX5EZA,Amazon Customer,Amazon India,RCWDXSJGDGK9D,5.0 out of 5 stars
106047.0,My pug liked it,amzn1.account.AGLRPCEJOSRH7I6I3CIHXP7V74FA,Ashwith,Amazon India,R1OZAM98RIW8N7,4.0 out of 5 stars
106048.0,Nice product for all dogs.,amzn1.account.AFPOUQRD7RTDCRRSNMWWTI2PRDQQ,Sunil,Amazon India,R2RVUFDP5SX87D,4.0 out of 5 stars
106049.0,my pug puppy puked after eating just one stick.,amzn1.account.AFDVWH7G3COJNIRNKIMJSJM4LTZA,Abhi Raman,Amazon India,R1SP7HR3Z14YHJ,1.0 out of 5 stars
106050.0,My dogs love it,amzn1.account.AETII6FWUAIEJPMG5LCV7LEZMRQA,Amazon Customer,Amazon India,R366ZHDHY2OXV6,5
106051.0,"My kid loves this stuff he cannot live without it , he needs daily one.love you Amazon thanks for caring about out pet also. We hardly get these stuff other places",amzn1.account.AG5ILQKMW4W6KTNZLNJA5P3DVSTQ,Mona L.,Amazon India,R3MUY03MB1L2M4,5
106052.0,May lab loves this,amzn1.account.AF367ACNQXW7OFWQB7GTFDO2GHVA,Mithun Chhabria,Amazon India,R3UAWGC9Q5BYPH,5
106053.0,The dogs love it,amzn1.account.AHZRW4NAHT6XNOXVTG3O4PTHXAMQ,Siddharth Thard,Amazon India,R3BU5P67L3BP46,5
106054.0,My Lab loves it,amzn1.account.AEAHHAWKJTEPNJFTF5AV45XZPVPQ,Ashish J S,Amazon India,R3PYJ03NEN3HST,5
106055.0,My dogs don't like it.,amzn1.account.AGMM57WE4KRTSBHJUQBSOPV3DF7A,Dr. Shikha Kumar,Amazon India,R2XM7Y36URT53I,2.0 out of 5 stars
106056.0,My dog love it,amzn1.account.AFQE2I45JXJAY4B77COTYZZMQ7CQ,Maxie Lewis,Amazon India,R1KSTJVSEXAK42,5.0 out of 5 stars
106057.0,"Bow, bow..woof, woof",amzn1.account.AFH7PHEMBYRHV6YOQPWI4ADFWYHA,Suneel,Amazon India,R3R0V01R2B0YUY,5.0 out of 5 stars
106058.0,Very nice product. My dog loved it,amzn1.account.AGB75RTZ5CIQLXC7HYBBFUNZWGVQ,MOUMITA DAS,Amazon India,R1T7LDHQ0Z68ZW,5.0 out of 5 stars
106059.0,"Dog loves it and it does seem to help with bad breath. The medium size is a little too big for my dog, so I cut it into two pieces and give him one in the morning and one in the night.  He's happier that way, and I get to save some money as well.",amzn1.account.AF3VFLFIMQBQ33R3XIVUEAEERSHA,MS,Amazon India,R2RRQBIWEH44P3,5
106060.0,My Lab loves it,amzn1.account.AEAHHAWKJTEPNJFTF5AV45XZPVPQ,Ashish J S,Amazon India,R8TL85T7MM149,5
106061.0,Not liked enough,amzn1.account.AGMM57WE4KRTSBHJUQBSOPV3DF7A,Dr. Shikha Kumar,Amazon India,R1OBDICGH3D0F0,3
106062.0,Like it good and tasty for pet,amzn1.account.AHSDKLMYNQZJJRPQAFJ62GZXD2DA,piyush,Amazon India,R35MFOQU69E2Q4,4
106063.0,good one,amzn1.account.AGVAGUJB7VGQYJDJWTXLCUDVBZXA,Shyam Chaudhary,Amazon India,R3BMAHYLMWQ55I,5
106064.0,good,amzn1.account.AGTVYA26DLIFV3OMWHIQSCAGY7LA,Pawan Kumar,Amazon India,R2CEJWVCNOMCKL,5
106065.0,bought whole product@137 happy as always,amzn1.account.AHOWD47P62UNG4RU4YJA5OF2V4VA,Adv. Surya Kaplish,Amazon India,R3RWEJCWDF5YIJ,5
106066.0,"My Doberman puppy just loves it. It is his daily treat at the end of the day. After his last meal and nature's calls, he obediently enters his cage, sits and waits there oozing all goodness. Ask why? Because he knows that I will give him his Pedigree Dentastix.I recommend it for all owners with naughty puppies, esp. ones which do not want to enter their cages to retire for the night. It works like magic.",amzn1.account.AE6IKJTQPUT27XDAKDAH6YONMOJA,Raj,Amazon India,R1411AQX47STMF,5
106067.0,He takes it joyfully and chews with dedication :),amzn1.account.AF7KS6D5S4QEXFPDX2GTCGBJ6XNA,Zed Arya,Amazon India,R2KEQ1B06F1EIV,5
106068.0,good,amzn1.account.AFT5GXGZXWU3OFLQVAJDHRUZK3OA,Ramesh,Amazon India,R295PS2UUEKIR0,3
106069.0,No please.,amzn1.account.AGMDVDM2PA7R2DHSOALRJFVFCLAA,Arun Pawar,Amazon India,R2NCROGNCQ0Q0E,4
106070.0,My cats love to eat this,amzn1.account.AFMVLQDONDQ4XE2ZLYIVIVAS2W4A,Gouhar Azeez,Amazon India,R28TESA7DTHUA4,5
106071.0,"My cats love the tuna flavor best of all. The other flavors aren't as yummy as this one according to them. I think this one has the strongest ""fishy"" smell.",amzn1.account.AGUSZ4BJSJEGSPUXKP2WAHRJHHNA,Bargain Hunter,Amazon India,R2UEVZ0VJW7S1A,5
106072.0,My cat loves it and it looks healthy with silky fur.,amzn1.account.AG5MWZUHSOA6Q3DNB6Z5J7BJQLGQ,M.S.Renukha,Amazon India,R16TNN92I4HK3H,5
106073.0,Arrived in time at a good price. The cats like it.,amzn1.account.AFGDFQ4B2OLQKBQLA3KZJTKACDNQ,Roshen Dalal,Amazon India,R29PZWJYBTL5LX,5
106074.0,My cat loves it!,amzn1.account.AGWN6MSC6FIAYS6GO6BQSDM7A5ZQ,Roopa,Amazon India,R2VANZXPS6RC2R,5.0 out of 5 stars
106075.0,Good product,amzn1.account.AEBLC2FXS7NH3DSNDNJOII2AD5BA,SUNIL,Amazon India,R2RS78D87Y0TJN,3.0 out of 5 stars
106076.0,Superb,amzn1.account.AECBY3TYXSYGL3DZJ6SQHWL33PAQ,L.Martin Tony JeyaSundar,Amazon India,R7ATEF42WWXV8,5.0 out of 5 stars
